9.96137e+13, 7.95554e+10
1.26992e+14, 8.25638e+10
1.62564e+14, 8.73334e+10
2.07249e+14, 9.78166e+10
2.64214e+14, 1.05460e+11
3.35464e+14, 1.25073e+11
4.29443e+14, 1.42779e+11
5.47498e+14, 1.69329e+11
6.95151e+14, 2.08623e+11
8.82618e+14, 2.52183e+11
1.12996e+15, 3.55040e+11
1.44069e+15, 5.09478e+11
1.82219e+15, 1.29519e+12
2.34326e+15, 4.72927e+12
2.99016e+15, 7.21325e+13
3.81448e+15, 4.66607e+14
4.86403e+15, 9.43639e+14
6.17626e+15, 1.43382e+15
7.87484e+15, 2.17860e+15
1.00815e+16, 2.89672e+15
