1.00834e+14, 9.43696e+10
1.27233e+14, 1.01950e+11
1.61882e+14, 1.14479e+11
2.07684e+14, 1.31054e+11
2.65342e+14, 1.44343e+11
3.36202e+14, 1.65242e+11
4.31326e+14, 2.12413e+11
5.46514e+14, 3.12584e+11
6.98238e+14, 5.06638e+11
8.81040e+14, 1.28051e+12
1.13032e+15, 8.50218e+12
1.43218e+15, 9.14975e+13
1.81465e+15, 3.08982e+14
2.32808e+15, 5.20527e+14
2.98678e+15, 7.96172e+14
3.76873e+15, 1.14922e+15
4.83504e+15, 1.59595e+15
6.12626e+15, 2.21635e+15
7.82705e+15, 2.96126e+15
9.87620e+15, 3.88084e+15
