1.00429e+14, 6.45053e+10
1.26986e+14, 7.22508e+10
1.61889e+14, 7.78966e+10
2.08094e+14, 8.55969e+10
2.66396e+14, 1.03466e+11
3.34079e+14, 1.18123e+11
4.27679e+14, 1.42782e+11
5.47498e+14, 1.69329e+11
7.00916e+14, 2.25144e+11
8.82726e+14, 3.55403e+11
1.13519e+15, 1.42749e+12
1.45401e+15, 7.63143e+12
1.83217e+15, 5.64151e+13
2.34639e+15, 1.98294e+14
2.99214e+15, 4.58258e+14
3.79946e+15, 7.51471e+14
4.88452e+15, 1.20897e+15
6.17676e+15, 1.80233e+15
7.90774e+15, 2.53744e+15
1.00406e+16, 3.37395e+15
